date,season,holiday,weekday,workingday,forecast,temperature,humidity,wind,icecream sales
1/1/2018,1,0,6,0,2,14.110847,80.5833,10.749882,985
2/1/2018,1,0,0,0,2,14.902598,69.6087,16.652113,801
3/1/2018,1,0,1,1,1,8.050924,43.7273,16.636703,1349
4/1/2018,1,0,2,1,1,8.2,59.0435,10.739832,1562
5/1/2018,1,0,3,1,1,9.305237,43.6957,12.5223,1600
6/1/2018,1,0,4,1,1,8.378268,51.8261,6.0008684,1606
7/1/2018,1,0,5,1,2,8.057402,49.8696,11.304642,1510
8/1/2018,1,0,6,0,2,6.765,53.5833,17.875868,959
9/1/2018,1,0,0,0,1,5.671653,43.4167,24.25065,822
10/1/2018,1,0,1,1,1,6.184153,48.2917,14.958889,1321
11/1/2018,1,0,2,1,2,6.932731,68.6364,8.182844,1263
12/1/2018,1,0,3,1,1,7.081807,59.9545,20.410009,1162
13-01-2018,1,0,4,1,1,6.765,47.0417,20.167,1406
14-01-2018,1,0,5,1,1,6.59567,53.7826,8.478716,1421
15-01-2018,1,0,6,0,2,9.566653,49.875,10.583521,1248
16-01-2018,1,0,0,0,1,9.498347,48.375,12.625011,1204
17-01-2018,1,1,1,0,2,7.209153,53.75,12.999139,1000
18-01-2018,1,0,2,1,2,8.883347,86.1667,9.833925,683
19-01-2018,1,0,3,1,2,11.979134,74.1739,13.957239,1650
20-01-2018,1,0,4,1,2,10.728347,53.8333,13.125568,1927
21-01-2018,1,0,5,1,1,7.2775,45.7083,23.667214,1543
22-01-2018,1,0,6,0,1,2.4243464,40,11.52199,981
23-01-2018,1,0,0,0,1,3.9573897,43.6522,16.5222,986
24-01-2018,1,0,1,1,1,3.9930433,49.1739,10.60811,1416
25-01-2018,1,0,2,1,2,9.162598,61.6957,8.696332,1985
26-01-2018,1,0,3,1,3,8.9175,86.25,19.68795,506
27-01-2018,1,0,4,1,1,7.995,68.75,7.627079,431
28-01-2018,1,0,5,1,2,8.342598,79.3043,8.2611,1167
29-01-2018,1,0,6,0,1,8.057402,65.1739,9.739455,1098
30-01-2018,1,0,0,0,1,8.877402,72.2174,4.9568342,1096
31-01-2018,1,0,1,1,2,7.414153,60.375,12.541864,1501
1/2/2018,1,0,2,1,2,7.879134,82.9565,3.565271,1360
2/2/2018,1,0,3,1,2,10.66,77.5417,17.708636,1526
3/2/2018,1,0,4,1,1,7.665237,43.7826,18.609384,1550
4/2/2018,1,0,5,1,2,8.663464,58.5217,8.565213,1708
5/2/2018,1,0,6,0,2,9.566653,92.9167,10.792293,1005
6/2/2018,1,0,0,0,1,11.719153,56.8333,9.5006,1623
7/2/2018,1,0,1,1,1,11.138347,73.8333,3.0423561,1712
8/2/2018,1,0,2,1,1,9.054153,53.7917,24.25065,1530
9/2/2018,1,0,3,1,2,5.526103,49.4783,12.652213,1605
10/2/2018,1,0,4,1,1,5.918268,43.7391,14.869645,1538
11/2/2018,1,0,5,1,1,7.752731,50.6364,7.27285,1746
12/2/2018,1,0,6,0,1,9.1225,54.4167,13.625589,1472
13-02-2018,1,0,0,0,1,12.977402,45.7391,17.479161,1589
14-02-2018,1,0,1,1,1,17.015,37.5833,27.999836,1913
15-02-2018,1,0,2,1,1,10.909567,31.4348,19.522058,1815
16-02-2018,1,0,3,1,1,13.048701,42.3478,16.869997,2115
17-02-2018,1,0,4,1,1,17.869153,50.5,15.416968,2475
18-02-2018,1,0,5,1,1,21.388347,51.6667,17.749975,2927
19-02-2018,1,0,6,0,1,16.365847,18.7917,34.000021,1635
20-02-2018,1,0,0,0,1,11.693897,40.7826,14.956745,1812
21-02-2018,1,1,1,0,2,12.436653,60.5,20.625682,1107
22-02-2018,1,0,2,1,1,7.471102,57.7778,13.110761,1450
23-02-2018,1,0,3,1,1,9.091299,42.3043,6.305571,1917
24-02-2018,1,0,4,1,2,12.121732,69.7391,16.783232,1807
25-02-2018,1,0,5,1,2,14.938268,71.2174,23.218113,1461
26-02-2018,1,0,6,0,1,11.5825,53.7917,12.500257,1969
27-02-2018,1,0,0,0,1,14.082598,68,8.391616,2402
28-02-2018,1,0,1,1,2,16.698193,87.6364,19.408962,1446
1/3/2018,1,0,2,1,1,10.933347,53.5,14.500475,1851
2/3/2018,1,0,3,1,1,13.735,44.9583,20.624811,2134
3/3/2018,1,0,4,1,1,8.131653,31.8333,15.125518,1685
4/3/2018,1,0,5,1,2,10.728347,61.0417,13.624182,1944
5/3/2018,1,0,6,0,2,15.750847,78.9167,16.875357,2077
6/3/2018,1,0,0,0,2,15.437402,94.8261,23.000229,605
7/3/2018,1,0,1,1,1,10.731299,55.1304,22.870584,1872
8/3/2018,1,0,2,1,1,11.9925,42.0833,8.08355,2133
9/3/2018,1,0,3,1,2,12.129153,77.5417,14.75005,1891
10/3/2018,1,0,4,1,3,15.952731,0,17.545759,623
11/3/2018,1,0,5,1,2,12.977402,64.9565,15.60899,1977
12/3/2018,1,0,6,0,1,13.495847,59.4583,14.791925,2132
13-03-2018,1,0,0,0,1,15.758268,52.7391,18.130468,2417
14-03-2018,1,0,1,1,1,13.333897,49.6957,9.174042,2046
15-03-2018,1,0,2,1,2,13.013031,65.5652,12.348703,2056
16-03-2018,1,0,3,1,2,14.973897,77.6522,13.608839,2192
17-03-2018,1,0,4,1,1,17.015,60.2917,14.041793,2744
18-03-2018,1,0,5,1,1,22.14,52.5217,15.478139,3239
19-03-2018,1,0,6,0,1,19.3725,37.9167,24.667189,3117
20-03-2018,1,0,0,0,1,13.6325,47.375,13.917307,2471
21-03-2018,2,0,1,1,2,17.647835,73.7391,19.348461,2077
22-03-2018,2,0,2,1,1,18.108347,62.4583,15.12525,2703
23-03-2018,2,0,3,1,2,14.225237,83.9565,15.695487,2121
24-03-2018,2,0,4,1,2,11.685,80.5833,16.333729,1865
25-03-2018,2,0,5,1,1,10.830847,49.5,15.458575,2210
26-03-2018,2,0,6,0,1,10.899153,39.4167,14.041257,2496
27-03-2018,2,0,0,0,2,10.374763,49.3913,12.3481,1693
28-03-2018,2,0,1,1,1,10.838268,30.2174,14.217668,2028
29-03-2018,2,0,2,1,1,12.4025,31.4167,15.208732,2425
30-03-2018,2,0,3,1,2,12.3,64.6667,11.583496,1536
31-03-2018,2,0,4,1,3,11.001653,91.8333,14.582282,1685
1/4/2018,2,0,5,1,2,12.3,68.625,17.333436,2227
2/4/2018,2,0,6,0,2,12.915,65.375,13.208782,2252
3/4/2018,2,0,0,0,1,15.511653,48,12.208271,3249
4/4/2018,2,0,1,1,1,23.506653,42.625,25.833257,3115
5/4/2018,2,0,2,1,2,16.980847,64.2083,26.000489,1795
6/4/2018,2,0,3,1,1,16.024153,47.0833,17.625221,2808
7/4/2018,2,0,4,1,1,17.9375,60.2917,10.874904,3141
8/4/2018,2,0,5,1,2,13.769153,83.625,15.208464,1471
9/4/2018,2,0,6,0,2,14.0425,87.75,8.916561,2455
10/4/2018,2,0,0,0,2,17.493347,85.75,9.833389,2895
11/4/2018,2,0,1,1,2,24.421732,71.6956,21.739758,3348
12/4/2018,2,0,2,1,2,20.6025,73.9167,18.416893,2034
13-04-2018,2,0,3,1,2,16.9125,81.9167,16.791339,2162
14-04-2018,2,0,4,1,1,19.1675,54.0417,7.4169,3267
15-04-2018,2,1,5,0,1,18.313347,67.125,15.167125,3126
16-04-2018,2,0,6,0,3,17.664153,88.8333,22.834136,795
17-04-2018,2,0,0,0,1,18.723347,47.9583,20.334232,3744
18-04-2018,2,0,1,1,1,21.0125,54.25,10.958989,3429
19-04-2018,2,0,2,1,2,20.739153,66.5833,10.584057,3204
20-04-2018,2,0,3,1,1,24.395,61.4167,16.208975,3944
21-04-2018,2,0,4,1,1,18.825847,40.7083,21.792286,4189
22-04-2018,2,0,5,1,2,13.803347,72.9583,14.707907,1683
23-04-2018,2,0,6,0,2,18.86,88.7917,15.458575,4036
24-04-2018,2,0,0,0,2,23.848347,81.0833,12.875725,4191
25-04-2018,2,0,1,1,1,24.873347,77.6667,12.417311,4073
26-04-2018,2,0,2,1,1,25.898347,72.9167,21.8755,4400
27-04-2018,2,0,3,1,2,25.42,83.5417,20.9174,3872
28-04-2018,2,0,4,1,2,25.3175,70.0833,21.500836,4058
29-04-2018,2,0,5,1,1,20.91,45.7083,16.084221,4595
30-04-2018,2,0,6,0,1,19.3725,50.3333,15.750025,5312
1/5/2018,2,0,0,0,2,18.518347,76.2083,7.125718,3351
2/5/2018,2,0,1,1,2,22.515847,73,12.291418,4401
3/5/2018,2,0,2,1,2,25.283347,69.7083,22.958689,4451
4/5/2018,2,0,3,1,2,16.980847,73.7083,22.042732,2633
5/5/2018,2,0,4,1,1,18.825847,44.4167,19.791264,4433
6/5/2018,2,0,5,1,1,19.645847,59,15.292482,4608
7/5/2018,2,0,6,0,1,21.32,54.125,10.75015,4714
8/5/2018,2,0,0,0,1,21.661653,63.1667,5.0007125,4333
9/5/2018,2,0,1,1,1,21.8325,58.875,11.792,4362
10/5/2018,2,0,2,1,1,21.8325,48.9167,7.749957,4803
11/5/2018,2,0,3,1,1,22.2425,63.2917,8.083014,4182
12/5/2018,2,0,4,1,1,21.935,74.75,12.707689,4864
13-05-2018,2,0,5,1,2,21.0125,86.3333,12.041575,4105
14-05-2018,2,0,6,0,2,21.354153,92.25,9.04165,3409
15-05-2018,2,0,0,0,2,23.0625,86.7083,10.249593,4553
16-05-2018,2,0,1,1,1,23.6775,78.7917,8.500357,3958
17-05-2018,2,0,2,1,2,23.028347,83.7917,18.582718,4123
18-05-2018,2,0,3,1,2,22.55,87,13.499964,3855
19-05-2018,2,0,4,1,2,21.764153,82.9583,7.250271,4575
20-05-2018,2,0,5,1,1,22.003347,71.9583,8.375871,4917
21-05-2018,2,0,6,0,1,24.7025,62.6667,8.08355,5805
22-05-2018,2,0,0,0,1,24.770847,74.9583,9.916536,4660
23-05-2018,2,0,1,1,2,25.898347,81,15.667414,4274
24-05-2018,2,0,2,1,2,27.06,74.0833,13.875164,4492
25-05-2018,2,0,3,1,1,27.094153,69.625,10.333611,4978
26-05-2018,2,0,4,1,1,29.041653,67.75,13.376014,4677
27-05-2018,2,0,5,1,1,27.948347,65.375,16.125493,4679
28-05-2018,2,0,6,0,1,26.889153,72.9583,15.416164,4758
29-05-2018,2,0,0,0,1,27.3675,81.875,14.333846,4788
30-05-2018,2,1,1,0,1,30.066653,68.5,8.792075,4098
31-05-2018,2,0,2,1,1,31.775,63.6667,7.459043,3982
1/6/2018,2,0,3,1,2,31.330847,67.7083,13.875164,3974
2/6/2018,2,0,4,1,1,29.315,30.5,19.583229,4968
3/6/2018,2,0,5,1,1,25.42,35.4167,16.959107,5312
4/6/2018,2,0,6,0,1,26.035,45.625,8.250514,5342
5/6/2018,2,0,0,0,2,26.581653,65.25,9.292364,4906
6/6/2018,2,0,1,1,1,27.811653,60,8.167032,4548
7/6/2018,2,0,2,1,1,29.0075,59.7917,12.583136,4833
8/6/2018,2,0,3,1,1,31.809153,62.2083,9.166739,4401
9/6/2018,2,0,4,1,2,33.141653,56.8333,10.042161,3915
10/6/2018,2,0,5,1,1,30.955,60.5,9.417118,4586
11/6/2018,2,0,6,0,1,29.725,65.4583,10.37495,4966
12/6/2018,2,0,0,0,1,28.3925,74.7917,10.958989,4460
13-06-2018,2,0,1,1,1,26.035,49.4583,20.45845,5020
14-06-2018,2,0,2,1,1,24.770847,50.7083,18.041961,4891
15-06-2018,2,0,3,1,1,25.693347,47.1667,11.250104,5180
16-06-2018,2,0,4,1,2,25.761653,68.8333,13.833557,3767
17-06-2018,2,0,5,1,1,26.615847,73.5833,9.582943,4844
18-06-2018,2,0,6,0,1,28.563347,67.0417,8.000336,5119
19-06-2018,2,0,0,0,2,28.665847,66.6667,6.834,4744
20-06-2018,2,0,1,1,2,26.035,74.625,10.416825,4010
21-06-2018,3,0,2,1,2,27.914153,77.0417,11.458675,4835
22-06-2018,3,0,3,1,1,30.066653,70.75,11.541554,4507
23-06-2018,3,0,4,1,2,29.861653,70.3333,15.999868,4790
24-06-2018,3,0,5,1,1,29.690847,57.3333,14.875675,4991
25-06-2018,3,0,6,0,1,28.495,48.3333,14.041257,5202
26-06-2018,3,0,0,0,1,27.88,51.3333,6.3337311,5305
27-06-2018,3,0,1,1,2,27.9825,65.8333,7.208396,4708
28-06-2018,3,0,2,1,1,30.510847,63.4167,9.666961,4648
29-06-2018,3,0,3,1,1,29.861653,49.7917,17.542007,5225
30-06-2018,3,0,4,1,1,28.563347,43.4167,12.415904,5515
1/7/2018,3,0,5,1,1,29.6225,39.625,6.874736,5362
2/7/2018,3,0,6,0,1,30.271653,44.4583,7.709154,5119
3/7/2018,3,0,0,0,2,29.383347,68.25,15.333486,4649
4/7/2018,3,1,1,0,2,29.793347,63.7917,5.4591064,6043
5/7/2018,3,0,2,1,1,30.613347,59.0417,8.459286,4665
6/7/2018,3,0,3,1,1,29.52,74.3333,10.042161,4629
7/7/2018,3,0,4,1,1,30.75,65.125,10.6664,4592
8/7/2018,3,0,5,1,2,29.075847,75.7917,15.083643,4040
9/7/2018,3,0,6,0,1,30.066653,60.9167,11.250104,5336
10/7/2018,3,0,0,0,1,30.6475,57.8333,12.292557,4881
11/7/2018,3,0,1,1,1,31.2625,63.5833,18.916579,4086
12/7/2018,3,0,2,1,1,32.560847,55.9167,13.417018,4258
13-07-2018,3,0,3,1,1,30.613347,63.1667,9.790911,4342
14-07-2018,3,0,4,1,1,27.914153,47.625,16.124689,5084
15-07-2018,3,0,5,1,1,27.196653,59.125,12.249811,5538
16-07-2018,3,0,6,0,1,28.153347,58.5,13.958914,5923
17-07-2018,3,0,0,0,1,29.485847,60.4167,16.417211,5302
18-07-2018,3,0,1,1,1,30.613347,65.125,14.458868,4458
19-07-2018,3,0,2,1,1,31.843347,65.0417,8.7502,4541
20-07-2018,3,0,3,1,1,31.501653,70.7083,7.625739,4332
21-07-2018,3,0,4,1,2,33.415,69.125,14.875407,3784
22-07-2018,3,0,5,1,1,34.781653,58.0417,8.9177,3387
23-07-2018,3,0,6,0,1,34.815847,50,8.791807,3285
24-07-2018,3,0,0,0,1,34.03,55.0833,11.334457,3606
25-07-2018,3,0,1,1,1,30.476653,75.7083,6.0841561,3840
26-07-2018,3,0,2,1,1,31.638347,54.0833,13.417286,4590
27-07-2018,3,0,3,1,1,31.775,40.2917,12.292021,4656
28-07-2018,3,0,4,1,1,31.945847,58.3333,11.958093,4390
29-07-2018,3,0,5,1,1,34.371653,54.25,11.667246,3846
30-07-2018,3,0,6,0,1,32.970847,46.5833,11.291979,4475
31-07-2018,3,0,0,0,1,33.039153,48.0833,11.042471,4302
1/8/2018,3,0,1,1,1,31.638347,55.0833,10.500039,4266
2/8/2018,3,0,2,1,1,32.116653,49.125,13.79195,4845
3/8/2018,3,0,3,1,2,29.998347,65.75,9.084061,3574
4/8/2018,3,0,4,1,2,29.11,75.75,13.20905,4576
5/8/2018,3,0,5,1,1,29.144153,63.0833,12.374632,4866
6/8/2018,3,0,6,0,2,29.383347,75.5,15.29275,4294
7/8/2018,3,0,0,0,1,30.4425,75.2917,13.499629,3785
8/8/2018,3,0,1,1,1,31.365,59.2083,12.875725,4326
9/8/2018,3,0,2,1,1,31.775,57.0417,10.125107,4602
10/8/2018,3,0,3,1,1,31.433347,42.4167,13.417286,4780
11/8/2018,3,0,4,1,1,29.4175,42.375,11.041332,4792
12/8/2018,3,0,5,1,1,29.041653,41.5,8.416607,4905
13-08-2018,3,0,6,0,2,28.119153,72.9583,14.167418,4150
14-08-2018,3,0,0,0,2,27.743347,81.75,14.916411,3820
15-08-2018,3,0,1,1,1,27.299153,71.2083,13.999918,4338
16-08-2018,3,0,2,1,1,28.734153,57.8333,15.834043,4725
17-08-2018,3,0,3,1,1,29.656653,57.5417,9.625689,4694
18-08-2018,3,0,4,1,1,29.178347,65.4583,15.624936,3805
19-08-2018,3,0,5,1,2,28.085,72.2917,9.333636,4153
20-08-2018,3,0,6,0,1,28.5975,67.4167,6.999289,5191
21-08-2018,3,0,0,0,1,29.144153,77,16.666518,3873
22-08-2018,3,0,1,1,1,28.358347,47,18.54225,4758
23-08-2018,3,0,2,1,1,26.274153,45.5417,9.833121,5895
24-08-2018,3,0,3,1,1,27.606653,60.5,16.958236,5130
25-08-2018,3,0,4,1,2,28.050847,77.1667,14.125811,3542
26-08-2018,3,0,5,1,1,28.7,76.125,5.6254875,4661
27-08-2018,3,0,6,0,2,27.88,85,25.166339,1115
28-08-2018,3,0,0,0,1,28.989419,56.1765,20.412153,4334
29-08-2018,3,0,1,1,1,26.103347,55.4583,10.708275,4634
30-08-2018,3,0,2,1,1,26.205847,54.8333,8.375536,5204
31-08-2018,3,0,3,1,1,26.923347,59.7917,5.5833311,5058
1/9/2018,3,0,4,1,1,26.855,63.9167,9.500332,5115
2/9/2018,3,0,5,1,2,26.376653,72.7083,9.375243,4727
3/9/2018,3,0,6,0,1,27.435847,71.6667,12.416775,4484
4/9/2018,3,0,0,0,1,29.075847,74.2083,13.833289,4940
5/9/2018,3,1,1,0,2,27.606653,79.0417,14.250632,3351
6/9/2018,3,0,2,1,3,22.14,88.6957,23.044181,2710
7/9/2018,3,0,3,1,3,24.565847,91.7083,6.5003936,1996
8/9/2018,3,0,4,1,3,25.990433,93.9565,12.914116,1842
9/9/2018,3,0,5,1,2,26.65,89.7917,8.333393,3544
10/9/2018,3,0,6,0,1,27.06,75.375,10.291736,5345
11/9/2018,3,0,0,0,1,26.786653,71.375,7.708618,5046
12/9/2018,3,0,1,1,1,26.418268,69.2174,5.957171,4713
13-09-2018,3,0,2,1,1,26.684153,71.25,9.500868,4763
14-09-2018,3,0,3,1,1,27.606653,69.7083,11.2091,4785
15-09-2018,3,0,4,1,2,23.6775,70.9167,18.166782,3659
16-09-2018,3,0,5,1,2,19.235847,59.0417,11.000261,4760
17-09-2018,3,0,6,0,2,20.158347,71.8333,12.708225,4511
18-09-2018,3,0,0,0,1,20.8075,69.5,11.958361,4274
19-09-2018,3,0,1,1,2,22.515847,69,10.166714,4539
20-09-2018,3,0,2,1,2,23.028347,88.125,9.041918,3641
21-09-2018,3,0,3,1,2,24.395,90,6.4590814,4352
22-09-2018,3,0,4,1,2,25.761653,90.2083,8.584375,4795
23-09-2018,4,0,5,1,2,24.975847,97.25,5.2505689,2395
24-09-2018,4,0,6,0,2,24.873347,86.25,5.2516811,5423
25-09-2018,4,0,0,0,2,26.000847,84.5,3.3754064,5010
26-09-2018,4,0,1,1,2,26.615847,84.8333,7.4169,4630
27-09-2018,4,0,2,1,2,26.103347,88.5417,7.917457,4120
28-09-2018,4,0,3,1,2,26.035,84.875,9.958143,3907
29-09-2018,4,0,4,1,1,25.283347,69.9167,11.583161,4839
30-09-2018,4,0,5,1,1,23.130847,64.75,13.833825,5202
1/10/2018,4,0,6,0,2,16.81,75.375,19.583832,2429
2/10/2018,4,0,0,0,2,14.623347,79.1667,14.874871,2918
3/10/2018,4,0,1,1,2,15.750847,76.0833,5.5841686,3570
4/10/2018,4,0,2,1,1,19.850847,71,13.792218,4456
5/10/2018,4,0,3,1,1,22.071653,64.7917,11.87575,4826
6/10/2018,4,0,4,1,1,20.260847,62.0833,9.041918,4765
7/10/2018,4,0,5,1,1,20.944153,68.4167,1.5002439,4985
8/10/2018,4,0,6,0,1,21.388347,70.125,3.0420814,5409
9/10/2018,4,0,0,0,1,22.174153,72.75,4.25115,5511
10/10/2018,4,1,1,0,1,23.404153,73.375,2.8343814,5117
11/10/2018,4,0,2,1,2,23.233347,80.875,9.583814,4563
12/10/2018,4,0,3,1,3,22.276653,90.625,16.62605,2416
13-10-2018,4,0,4,1,2,24.155847,89.6667,9.499729,2913
14-10-2018,4,0,5,1,2,22.584153,71.625,15.000161,3644
15-10-2018,4,0,6,0,1,20.773347,48.3333,17.291561,5217
16-10-2018,4,0,0,0,1,20.978347,48.6667,18.875039,5041
17-10-2018,4,0,1,1,1,21.900847,57.9583,11.750393,4570
18-10-2018,4,0,2,1,2,21.8325,70.1667,7.375829,4748
19-10-2018,4,0,3,1,3,22.211299,89.5217,16.303713,2424
20-10-2018,4,0,4,1,1,19.509153,63.625,28.292425,4195
